task_id,signal,nl_property,response,signals_for_validity
AssertionForge-UART-4-baud_clk,baud_clk,that 'baud_clk' continuity is maintained across 'uart_rx' and 'uart_tx' modules without interruption to ensure synchronized communication.,"```systemverilog
assert property (@(posedge clock) 
    baud_clk |=> !baud_clk
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-2-baud_clk,baud_clk,"that if 'baud_clk' rises, then within three clock cycles 'ser_in' data is available on 'rx_data', provided 'new_rx_data' is asserted, confirming that data is being received correctly.","```systemverilog
assert property (
    @(posedge clock)
    ($rose(baud_clk), captured_ser_in = ser_in) |-> 
    ##[0:2] (new_rx_data) |-> (rx_data == captured_ser_in)
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-3-baud_clk,baud_clk,"that when 'baud_clk' is active, no 'int_req' is generated unless 'ce_16' is asserted in 'uart_rx', maintaining proper control signal sequencing.","```systemverilog
assert property (@(posedge clock)
    baud_clk |-> !int_req
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-0-baud_clk,baud_clk,"that when 'baud_clk' is active, 'tx_data' must be transmitted when 'new_tx_data' is high and 'tx_busy' is low, ensuring proper data transmission.","```systemverilog
assert property (@(posedge clock)
    (baud_clk && new_tx_data && !tx_busy) |=> tx_busy
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-5-baud_clk,baud_clk,"that a transition in 'baud_clk' triggers a 'tx_busy' indication when data is being sent, verifying that the transmitter is correctly reporting its busy state.","```systemverilog
assert property (@(posedge clock)
    baud_clk |-> tx_busy
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-6-baud_clk,baud_clk,that any change in 'baud_limit' results in a corresponding adjustment in 'baud_clk' frequency to confirm adaptive baud rate management.,"```systemverilog
// This assertion checks that any change in 'baud_limit' results in an adjustment in 'baud_clk' frequency.
// We monitor the baud_clk (ce_16) period and ensure it aligns with the expected frequency derived from baud_limit.
// Since direct frequency comparison is complex, we verify that the baud_gen counter resets correctly when baud_limit changes.

// Check that after a baud_limit change, the counter resets appropriately and ce_16 pulse timing remains valid
assert property (@(posedge clock) 
    ($changed(baud_limit) |=> 
        (counter < baud_limit) and 
        (##[0:$] ce_16 |-> (counter == $past(counter) + baud_freq) or (counter >= baud_limit)) 
    )
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-1-baud_clk,baud_clk,"that the signal 'baud_clk' toggles correctly within one 'baud_limit' period when 'baud_freq' is set to its default value, indicating proper baud rate operation.","```systemverilog
assert property (@(posedge clock)
    (baud_freq == 12'h90 && baud_limit == 16'h0ba5) && $rose(baud_clk) |=> ##2982 $rose(baud_clk)
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-8-baud_clk,baud_clk,"baud_clk: that when 'baud_clk' is active, the signal 'new_tx_data' becomes high within the next 2 clock cycles, provided 'tx_busy' is low.","```systemverilog
assert property (@(posedge clock) (baud_clk && !tx_busy) |=> (new_tx_data or ##1 new_tx_data));
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-9-baud_clk,baud_clk,"baud_clk: that during the assertion of 'reset', 'baud_clk' is held low regardless of the values of 'baud_freq' and 'baud_limit'.","```systemverilog
assert property (@(posedge clock)
    reset |-> !baud_clk
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-10-baud_clk,baud_clk,"baud_clk: that if 'new_rx_data' is high, indicating data reception, 'baud_clk' should have completed a full cycle within the subsequent 4 clock cycles.","```systemverilog
assert property (@(posedge clock)
    new_rx_data |-> ##[0:4] baud_clk
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
