task_id,syntax,functionality,func_relaxed,jg_output_tail
FVEval-NL2SVA-Machine-0,1.0,1.0,1.0,"ween
'(sig_F && sig_H) || (sig_I == '1) || sig_B'
'(((sig_F && sig_H) || &sig_I) || sig_B)'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.575 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-2,1.0,1.0,1.0,"een
'(sig_G && sig_C && sig_A) |-> ##5 !sig_I'
'(sig_G && (sig_C && sig_A)) |-> ##5 !sig_I'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.585 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-3,1.0,1.0,1.0,"""p1_prove""
Full equivalence between
'sig_C != (sig_A && sig_H)'
'sig_C != (sig_A && sig_H)'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.575 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-1,1.0,0.0,0.0," == sig_A ) != (sig_J && sig_I) )'
'(((sig_C !== ~|sig_D) === sig_A) !== (sig_J && sig_I))'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.570 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-8,1.0,0.0,0.0,"sig_A)) == sig_H) |->     ((sig_G ^ (|sig_C) == 1'b1) && (sig_H == 1'b1 || sig_J == 1'b1))'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.571 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-6,1.0,1.0,1.0,"ted proof on task: ""p1_prove""
Full equivalence between
'(sig_F != 5'd1)'
'(sig_F !== 1'b1)'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.571 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-7,1.0,1.0,1.0," sig_E) != (sig_H != sig_B))'
'sig_G |-> ##[5:9] ((sig_J !== sig_E) !== (sig_H !== sig_B))'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.570 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-4,1.0,1.0,1.0,"""
Full equivalence between
'((sig_H == sig_F) != (|sig_J))'
'((sig_H === sig_F) !== sig_J)'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.571 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-10,1.0,1.0,1.0,"_prove""
Full equivalence between
'(sig_J == sig_E) || sig_C'
'((sig_J === sig_E) || sig_C)'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.571 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
FVEval-NL2SVA-Machine-12,1.0,1.0,1.0,"g_A) || sig_E) |=> (sig_F == sig_A)'
'((sig_B < sig_A) || sig_E) |-> ##1 (sig_F === sig_A)'
[p1_prove] % exit -force
[p1_prove] % INFO (IPL005): Received request to exit from the console.
INFO: Waiting for proof threads to stop...
INFO: Proof threads stopped.
INFO (IPL018): The peak resident set memory use for this session was 0.575 GB.
INFO (IPL014): Waiting for the Tcl-thread to exit.
INFO (IPL015): The Tcl-thread exited with status 0.
INFO (IPL016): Exiting the analysis session with status 0."
