task_id,signal,nl_property,response,signals_for_validity
AssertionForge-UART-5-baud_clk,baud_clk,"that a transition in 'baud_clk' triggers a 'tx_busy' indication when data is being sent, verifying that the transmitter is correctly reporting its busy state.","```systemverilog
asrt: assert property (@(posedge clock)
    $rose(baud_clk) |-> tx_busy
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-0-baud_clk,baud_clk,"that when 'baud_clk' is active, 'tx_data' must be transmitted when 'new_tx_data' is high and 'tx_busy' is low, ensuring proper data transmission.","```systemverilog
asrt: assert property (@(posedge clock)
    new_tx_data && !tx_busy |-> ##1 tx_data
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-2-baud_clk,baud_clk,"that if 'baud_clk' rises, then within three clock cycles 'ser_in' data is available on 'rx_data', provided 'new_rx_data' is asserted, confirming that data is being received correctly.","```systemverilog
asrt: assert property (@(posedge clock)
    $rose(baud_clk) |-> ##[1:3] (new_rx_data && (ser_in == rx_data))
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-4-baud_clk,baud_clk,that 'baud_clk' continuity is maintained across 'uart_rx' and 'uart_tx' modules without interruption to ensure synchronized communication.,"```systemverilog
asrt: assert property (@(posedge clock)
    (uart_rx_inst.rx_busy && uart_tx_inst.tx_busy) |-> (baud_clk throughout (uart_rx_inst.rx_busy && uart_tx_inst.tx_busy))
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-3-baud_clk,baud_clk,"that when 'baud_clk' is active, no 'int_req' is generated unless 'ce_16' is asserted in 'uart_rx', maintaining proper control signal sequencing.","```systemverilog
asrt: assert property (@(posedge clock)
    baud_clk |-> int_req |-> 1'b0
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-6-baud_clk,baud_clk,that any change in 'baud_limit' results in a corresponding adjustment in 'baud_clk' frequency to confirm adaptive baud rate management.,"```systemverilog
asrt: assert property (@(posedge clock)
    $changed(baud_limit) |-> ##1 $changed(baud_clk)
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-1-baud_clk,baud_clk,"that the signal 'baud_clk' toggles correctly within one 'baud_limit' period when 'baud_freq' is set to its default value, indicating proper baud rate operation.","```systemverilog
asrt: assert property (@(posedge clock)
    $stable(baud_clk) |-> ##[1:$] $changed(baud_clk)
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-8-baud_clk,baud_clk,"baud_clk: that when 'baud_clk' is active, the signal 'new_tx_data' becomes high within the next 2 clock cycles, provided 'tx_busy' is low.","```systemverilog
asrt: assert property (@(posedge clock)
    (baud_clk && !tx_busy) |-> ##[1:2] new_tx_data
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-9-baud_clk,baud_clk,"baud_clk: that during the assertion of 'reset', 'baud_clk' is held low regardless of the values of 'baud_freq' and 'baud_limit'.","```systemverilog
asrt: assert property (@(posedge clock)
    reset |-> (baud_clk == 1'b0)
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
AssertionForge-UART-10-baud_clk,baud_clk,"baud_clk: that if 'new_rx_data' is high, indicating data reception, 'baud_clk' should have completed a full cycle within the subsequent 4 clock cycles.","```systemverilog
asrt: assert property (@(posedge clock)
    new_rx_data |-> ##[1:4] $rose(baud_clk)
);
```","baud_clk,baud_freq,baud_limit,ce_16,int_address,int_gnt,int_rd_data,int_read,int_req,int_wr_data,int_write,new_rx_data,new_tx_data,rx_data,ser_in,ser_out,tx_busy,tx_data"
